task_id,gap_id,sample_idx,tau,state_id
R000014,G000001,0,720.418,OS000001
R000014,G000001,1,730.418,OS000002
R000014,G000001,2,740.418,OS000003
R000014,G000001,3,750.418,OS000004
R000014,G000001,4,760.418,OS000005
R000014,G000001,5,770.418,OS000006
R000014,G000001,6,780.418,OS000007
R000014,G000001,7,790.418,OS000008
R000014,G000001,8,800.418,OS000009
R000014,G000001,9,810.418,OS000010
R000014,G000001,10,820.418,OS000011
R000014,G000001,11,830.418,OS000012
R000014,G000001,12,840.418,OS000013
R000014,G000001,13,850.418,OS000014
R000014,G000001,14,860.418,OS000015
R000014,G000001,15,870.418,OS000016
R000014,G000001,16,880.418,OS000017
R000014,G000001,17,890.418,OS000018
R000014,G000001,18,900.418,OS000019
R000014,G000001,19,910.418,OS000020
R000014,G000001,20,920.418,OS000021
R000014,G000001,21,930.418,OS000022
R000014,G000001,22,940.418,OS000023
R000014,G000001,23,950.418,OS000024
R000014,G000001,24,960.418,OS000025
R000014,G000001,25,970.418,OS000026
R000014,G000001,26,980.418,OS000027
R000014,G000001,27,990.418,OS000028
R000014,G000001,28,1000.418,OS000029
R000014,G000001,29,1010.024,OS000030
R000014,G000001,30,1020.024,OS000031
R000014,G000001,31,1030.024,OS000032
R000014,G000001,32,1040.024,OS000033
R000014,G000001,33,1045.805,OS012781
R000014,G000001,34,1055.805,OS012781
R000014,G000001,35,1065.805,OS012781
R000014,G000001,36,1075.805,OS012781
R000014,G000001,37,1085.805,OS012781
R000014,G000001,38,1095.805,OS012781
R000014,G000001,39,1105.805,OS012781
R000014,G000001,40,1115.805,OS012781
R000014,G000001,41,1125.805,OS012781
R000014,G000001,42,1135.805,OS012781
R000014,G000001,43,1145.805,OS012781
R000014,G000001,44,1155.805,OS012781
R000014,G000001,45,1165.805,OS012781
R000014,G000001,46,1175.805,OS012781
R000014,G000001,47,1185.805,OS012781
R000014,G000001,48,1195.805,OS012781
R000014,G000001,49,1205.805,OS012781
R000014,G000001,50,1215.805,OS012781
R000014,G000001,51,1225.805,OS000568
R000014,G000001,52,1235.805,OS000569
R000014,G000001,53,1245.805,OS000570
R000014,G000001,54,1255.624,OS000571
R000014,G000001,55,1265.624,OS000572
R000014,G000001,56,1275.624,OS000573
R000014,G000001,57,1285.624,OS000574
R000014,G000001,58,1295.624,OS000575
R000014,G000001,59,1305.624,OS000576
R000014,G000001,60,1315.624,OS000577
R000014,G000001,61,1325.624,OS000578
R000014,G000001,62,1335.624,OS000579
R000014,G000001,63,1345.624,OS000580
R000014,G000001,64,1355.624,OS000581
R000014,G000001,65,1365.624,OS000582
R000014,G000001,66,1375.624,OS000583
R000014,G000001,67,1385.624,OS000584
R000014,G000001,68,1395.624,OS000585
R000014,G000001,69,1405.624,OS000586
R000014,G000001,70,1415.624,OS000587
R000014,G000001,71,1425.624,OS000588
R000014,G000001,72,1435.624,OS000589
R000014,G000001,73,1445.624,OS000590
R000014,G000001,74,1455.624,OS000591
R000014,G000001,75,1465.624,OS000592
R000014,G000001,76,1475.624,OS000593
R000014,G000001,77,1485.624,OS000594
R000014,G000001,78,1495.624,OS000595
R000014,G000001,79,1505.624,OS000596
R000014,G000001,80,1515.624,OS000597
R000014,G000001,81,1525.624,OS000598
R000014,G000001,82,1535.624,OS000599
R000014,G000001,83,1545.624,OS000600
R000015,G000002,0,720.418,OS000001
R000015,G000002,1,730.418,OS000002
R000015,G000002,2,740.418,OS000003
R000015,G000002,3,750.418,OS000004
R000015,G000002,4,760.418,OS000005
R000015,G000002,5,770.418,OS000006
R000015,G000002,6,780.418,OS000007
R000015,G000002,7,790.418,OS000008
R000015,G000002,8,800.418,OS000009
R000015,G000002,9,810.418,OS000010
R000015,G000002,10,820.418,OS000011
R000015,G000002,11,830.418,OS000012
R000015,G000002,12,840.418,OS000013
R000015,G000002,13,850.418,OS000014
R000015,G000002,14,860.418,OS000015
R000015,G000002,15,870.418,OS000016
R000015,G000002,16,880.418,OS000017
R000015,G000002,17,890.418,OS000018
R000015,G000002,18,900.418,OS000019
R000015,G000002,19,910.418,OS000020
R000015,G000002,20,920.418,OS000021
R000015,G000002,21,930.418,OS000022
R000015,G000002,22,940.418,OS000023
R000015,G000002,23,950.418,OS000024
R000015,G000002,24,960.418,OS000025
R000015,G000002,25,970.418,OS000026
R000015,G000002,26,980.418,OS000027
R000015,G000002,27,990.418,OS000028
R000015,G000002,28,1000.418,OS000029
R000015,G000002,29,1010.024,OS000030
R000015,G000002,30,1020.024,OS000031
R000015,G000002,31,1030.024,OS000032
R000015,G000002,32,1040.024,OS000033
R000015,G000002,33,1045.805,OS012781
R000015,G000002,34,1055.805,OS012781
R000015,G000002,35,1065.805,OS012781
R000015,G000002,36,1075.805,OS012781
R000015,G000002,37,1085.805,OS012781
R000015,G000002,38,1095.805,OS012781
R000015,G000002,39,1105.805,OS012781
R000015,G000002,40,1115.805,OS012781
R000015,G000002,41,1125.805,OS012781
R000015,G000002,42,1135.805,OS012781
R000015,G000002,43,1145.805,OS012781
R000015,G000002,44,1155.805,OS012781
R000015,G000002,45,1165.805,OS012781
R000015,G000002,46,1175.805,OS012781
R000015,G000002,47,1185.805,OS012781
R000015,G000002,48,1195.805,OS012781
R000015,G000002,49,1205.805,OS012781
R000015,G000002,50,1215.805,OS012781
R000015,G000002,51,1225.805,OS000568
R000015,G000002,52,1235.805,OS000569
R000015,G000002,53,1245.805,OS000570
R000015,G000002,54,1255.624,OS000571
R000015,G000002,55,1265.624,OS000572
R000015,G000002,56,1275.624,OS000573
R000015,G000002,57,1285.624,OS000574
R000015,G000002,58,1295.624,OS000575
R000015,G000002,59,1305.624,OS000576
R000015,G000002,60,1315.624,OS000577
R000015,G000002,61,1325.624,OS000578
R000015,G000002,62,1335.624,OS000579
R000015,G000002,63,1345.624,OS000580
R000015,G000002,64,1355.624,OS000581
R000015,G000002,65,1365.624,OS000582
R000015,G000002,66,1375.624,OS000583
R000015,G000002,67,1385.624,OS000584
R000015,G000002,68,1395.624,OS000585
R000015,G000002,69,1405.624,OS000586
R000015,G000002,70,1415.624,OS000587
R000015,G000002,71,1425.624,OS000588
R000015,G000002,72,1435.624,OS000589
R000015,G000002,73,1445.624,OS000590
R000015,G000002,74,1455.624,OS000591
R000015,G000002,75,1465.624,OS000592
R000015,G000002,76,1475.624,OS000593
R000015,G000002,77,1485.624,OS000594
R000015,G000002,78,1495.624,OS000595
R000015,G000002,79,1505.624,OS000596
R000015,G000002,80,1515.624,OS000597
R000015,G000002,81,1525.624,OS000598
R000015,G000002,82,1535.624,OS000599
R000015,G000002,83,1545.624,OS000600
R000016,G000003,0,750.418,OS000001
R000016,G000003,1,760.418,OS000002
R000016,G000003,2,770.418,OS000003
R000016,G000003,3,780.418,OS000004
R000016,G000003,4,790.418,OS000005
R000016,G000003,5,800.418,OS000006
R000016,G000003,6,810.418,OS000007
R000016,G000003,7,820.418,OS000008
R000016,G000003,8,830.418,OS000009
R000016,G000003,9,840.418,OS000010
R000016,G000003,10,850.418,OS000011
R000016,G000003,11,860.418,OS000012
R000016,G000003,12,870.418,OS000013
R000016,G000003,13,880.418,OS000014
R000016,G000003,14,890.418,OS000015
R000016,G000003,15,900.418,OS000016
R000016,G000003,16,910.418,OS000017
R000016,G000003,17,920.418,OS000018
R000016,G000003,18,930.418,OS000019
R000016,G000003,19,940.418,OS000020
R000016,G000003,20,950.418,OS000021
R000016,G000003,21,960.418,OS000022
R000016,G000003,22,970.418,OS000023
R000016,G000003,23,980.418,OS000024
R000016,G000003,24,990.418,OS000025
R000016,G000003,25,1000.418,OS000026
R000016,G000003,26,1010.418,OS000027
R000016,G000003,27,1020.418,OS000028
R000016,G000003,28,1030.418,OS000029
R000016,G000003,29,1040.024,OS000030
R000016,G000003,30,1050.024,OS000031
R000016,G000003,31,1060.024,OS000032
R000016,G000003,32,1070.024,OS000033
R000016,G000003,33,1075.805,OS012781
R000016,G000003,34,1085.805,OS012781
R000016,G000003,35,1095.805,OS012781
R000016,G000003,36,1105.805,OS012781
R000016,G000003,37,1115.805,OS012781
R000016,G000003,38,1125.805,OS012781
R000016,G000003,39,1135.805,OS012781
R000016,G000003,40,1145.805,OS012781
R000016,G000003,41,1155.805,OS012781
R000016,G000003,42,1165.805,OS012781
R000016,G000003,43,1175.805,OS012781
R000016,G000003,44,1185.805,OS012781
R000016,G000003,45,1195.805,OS012781
R000016,G000003,46,1205.805,OS012781
R000016,G000003,47,1215.805,OS012781
R000016,G000003,48,1225.805,OS012781
R000016,G000003,49,1235.805,OS012781
R000016,G000003,50,1245.805,OS012781
R000016,G000003,51,1255.805,OS012781
R000016,G000003,52,1265.805,OS012781
R000016,G000003,53,1275.805,OS012781
R000016,G000003,54,1285.805,OS000568
R000016,G000003,55,1295.805,OS000569
R000016,G000003,56,1305.805,OS000570
R000016,G000003,57,1315.624,OS000571
R000016,G000003,58,1325.624,OS000572
R000016,G000003,59,1335.624,OS000573
R000016,G000003,60,1345.624,OS000574
R000016,G000003,61,1355.624,OS000575
R000016,G000003,62,1365.624,OS000576
R000016,G000003,63,1375.624,OS000577
R000016,G000003,64,1385.624,OS000578
R000016,G000003,65,1395.624,OS000579
R000016,G000003,66,1405.624,OS000580
R000016,G000003,67,1415.624,OS000581
R000016,G000003,68,1425.624,OS000582
R000016,G000003,69,1435.624,OS000583
R000016,G000003,70,1445.624,OS000584
R000016,G000003,71,1455.624,OS000585
R000016,G000003,72,1465.624,OS000586
R000016,G000003,73,1475.624,OS000587
R000016,G000003,74,1485.624,OS000588
R000016,G000003,75,1495.624,OS000589
R000016,G000003,76,1505.624,OS000590
R000016,G000003,77,1515.624,OS000591
R000016,G000003,78,1525.624,OS000592
R000016,G000003,79,1535.624,OS000593
R000016,G000003,80,1545.624,OS000594
R000016,G000003,81,1555.624,OS000595
R000016,G000003,82,1565.624,OS000596
R000016,G000003,83,1575.624,OS000597
R000016,G000003,84,1585.624,OS000598
R000016,G000003,85,1595.624,OS000599
R000016,G000003,86,1605.624,OS000600
R000017,G000004,0,720.418,OS000001
R000017,G000004,1,730.418,OS000002
R000017,G000004,2,740.418,OS000003
R000017,G000004,3,750.418,OS000004
R000017,G000004,4,760.418,OS000005
R000017,G000004,5,770.418,OS000006
R000017,G000004,6,780.418,OS000007
R000017,G000004,7,790.418,OS000008
R000017,G000004,8,800.418,OS000009
R000017,G000004,9,810.418,OS000010
R000017,G000004,10,820.418,OS000011
R000017,G000004,11,830.418,OS000012
R000017,G000004,12,840.418,OS000013
R000017,G000004,13,850.418,OS000014
R000017,G000004,14,860.418,OS000015
R000017,G000004,15,870.418,OS000016
R000017,G000004,16,880.418,OS000017
R000017,G000004,17,890.418,OS000018
R000017,G000004,18,900.418,OS000019
R000017,G000004,19,910.418,OS000020
R000017,G000004,20,920.418,OS000021
R000017,G000004,21,930.418,OS000022
R000017,G000004,22,940.418,OS000023
R000017,G000004,23,950.418,OS000024
R000017,G000004,24,960.418,OS000025
R000017,G000004,25,970.418,OS000026
R000017,G000004,26,980.418,OS000027
R000017,G000004,27,990.418,OS000028
R000017,G000004,28,1000.418,OS000029
R000017,G000004,29,1010.024,OS000030
R000017,G000004,30,1020.024,OS000031
R000017,G000004,31,1030.024,OS000032
R000017,G000004,32,1040.024,OS000033
R000017,G000004,33,1045.805,OS012781
R000017,G000004,34,1055.805,OS012781
R000017,G000004,35,1065.805,OS012781
R000017,G000004,36,1075.805,OS012781
R000017,G000004,37,1085.805,OS012781
R000017,G000004,38,1095.805,OS012781
R000017,G000004,39,1105.805,OS012781
R000017,G000004,40,1115.805,OS012781
R000017,G000004,41,1125.805,OS012781
R000017,G000004,42,1135.805,OS012781
R000017,G000004,43,1145.805,OS012781
R000017,G000004,44,1155.805,OS012781
R000017,G000004,45,1165.805,OS012781
R000017,G000004,46,1175.805,OS012781
R000017,G000004,47,1185.805,OS012781
R000017,G000004,48,1195.805,OS012781
R000017,G000004,49,1205.805,OS012781
R000017,G000004,50,1215.805,OS012781
R000017,G000004,51,1225.805,OS000568
R000017,G000004,52,1235.805,OS000569
R000017,G000004,53,1245.805,OS000570
R000017,G000004,54,1255.624,OS000571
R000017,G000004,55,1265.624,OS000572
R000017,G000004,56,1275.624,OS000573
R000017,G000004,57,1285.624,OS000574
R000017,G000004,58,1295.624,OS000575
R000017,G000004,59,1305.624,OS000576
R000017,G000004,60,1315.624,OS000577
R000017,G000004,61,1325.624,OS000578
R000017,G000004,62,1335.624,OS000579
R000017,G000004,63,1345.624,OS000580
R000017,G000004,64,1355.624,OS000581
R000017,G000004,65,1365.624,OS000582
R000017,G000004,66,1375.624,OS000583
R000017,G000004,67,1385.624,OS000584
R000017,G000004,68,1395.624,OS000585
R000017,G000004,69,1405.624,OS000586
R000017,G000004,70,1415.624,OS000587
R000017,G000004,71,1425.624,OS000588
R000017,G000004,72,1435.624,OS000589
R000017,G000004,73,1445.624,OS000590
R000017,G000004,74,1455.624,OS000591
R000017,G000004,75,1465.624,OS000592
R000017,G000004,76,1475.624,OS000593
R000017,G000004,77,1485.624,OS000594
R000017,G000004,78,1495.624,OS000595
R000017,G000004,79,1505.624,OS000596
R000017,G000004,80,1515.624,OS000597
R000017,G000004,81,1525.624,OS000598
R000017,G000004,82,1535.624,OS000599
R000017,G000004,83,1545.624,OS000600
R000018,G000005,0,750.418,OS000001
R000018,G000005,1,760.418,OS000002
R000018,G000005,2,770.418,OS000003
R000018,G000005,3,780.418,OS000004
R000018,G000005,4,790.418,OS000005
R000018,G000005,5,800.418,OS000006
R000018,G000005,6,810.418,OS000007
R000018,G000005,7,820.418,OS000008
R000018,G000005,8,830.418,OS000009
R000018,G000005,9,840.418,OS000010
R000018,G000005,10,850.418,OS000011
R000018,G000005,11,860.418,OS000012
R000018,G000005,12,870.418,OS000013
R000018,G000005,13,880.418,OS000014
R000018,G000005,14,890.418,OS000015
R000018,G000005,15,900.418,OS000016
R000018,G000005,16,910.418,OS000017
