task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,end_SOC,charge_start_s,charge_end_s,charge_duration_s,battery_ready_s
R073074,U01,A,BAT_A01,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073075,U02,A,BAT_A02,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R073076,U03,A,BAT_A03,0.0,1179.5,1179.5094993423072,0.729145,1179.5,2031.6,852.1,2031.6
R055555,U07,C,BAT_C01,0.0,2845.4,2845.396123952648,0.259773,2845.4,5282.6,2437.2,5282.6
R057817,U07,C,BAT_C02,2845.4,5478.1,2632.665037323507,0.215166,5478.1,8011.9,2533.8,8011.9
R010966,U07,C,BAT_C03,5478.1,8054.3,2576.17694271606,0.219461,8054.3,10578.8,2524.5,10578.8
R014941,U07,C,BAT_C04,8054.3,10560.8,2506.514262261126,0.211014,10560.8,13103.6,2542.8,13103.6
R072344,U07,C,BAT_C01,10560.8,12959.8,2398.9522000319184,0.42914,12959.8,15029.9,2070.2,15029.9
R000326,U07,C,BAT_C02,12959.8,14373.3,1413.5190318265477,0.659239,14373.3,15944.9,1571.6,15944.9
R053649,U08,C,BAT_C03,10578.8,13319.8,2741.0685612688667,0.214684,13319.8,15854.7,2534.9,15854.7
R052432,U08,C,BAT_C04,13319.8,15972.3,2652.483199850982,0.245469,15972.3,18440.5,2468.2,18440.5
R071208,U08,C,BAT_C01,15972.3,18560.2,2587.898906740877,0.209843,18560.2,21105.6,2545.3,21105.6
R069014,U08,C,BAT_C03,18560.2,21133.7,2573.4616160530586,0.288283,21133.7,23509.1,2375.4,23509.1
R071674,U08,C,BAT_C02,21133.7,23617.6,2483.8644847049472,0.246884,23617.6,26082.6,2465.1,26082.6
