task_id,uav_id,uav_type,start_time_s,end_time_s,duration_s,n_stops,n_boxes,visit_order,energy_kWh,end_SOC
R073074,U01,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073075,U02,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073076,U03,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R000158,U05,B,0.0,1951.3,1951.330032739159,1,3,S003,2.495470010644934,0.376132
R000227,U05,B,1951.3,3582.7,1631.3782951272271,1,3,S009,2.130236530099273,0.467441
R000262,U05,B,3582.7,5162.8,1580.116744566375,1,3,S014,2.0196221452292424,0.495094
R000255,U05,B,5162.8,6670.3,1507.5018734358305,1,3,S013,1.8209951870678336,0.544751
R000144,U06,B,0.0,1918.8,1918.753320965953,1,3,S002,2.5325421679639737,0.366864
R000248,U06,B,1918.8,3836.7,1917.9408462029787,1,3,S012,2.7498930409760503,0.312527
R000234,U06,B,3836.7,5361.2,1524.547034583411,1,3,S010,1.804912115129597,0.548772
R000241,U06,B,5361.2,6493.9,1132.6456889753713,1,3,S011,1.0542701525007734,0.736432
R058194,U07,C,0.0,2512.1,2512.0628217473354,2,7,S004>S005,6.349401329408673,0.206325
R070770,U07,C,2512.1,4989.0,2476.9427152143085,2,8,S007>S015,5.307322807199387,0.336585
R018936,U07,C,4989.0,7217.2,2228.202793974612,2,8,S001>S005,4.869981111583424,0.391252
R000326,U07,C,7217.2,8630.7,1413.5190318265477,1,5,S001,2.72609007954481,0.659239
R010788,U08,C,0.0,2510.2,2510.17694271606,2,7,S001>S002,6.226148470636181,0.221731
R062263,U08,C,2510.2,4996.6,2486.3846966953306,2,7,S005>S008,6.300821430509463,0.212397
R000516,U08,C,4996.6,7208.2,2211.600023787336,1,5,S003,5.947329792783986,0.256584
R000637,U08,C,7208.2,8695.3,1487.1161986006482,1,6,S006,2.5631494790859533,0.679606
