gap_id,task_id,candidate_id,tau_start_s,tau_end_s,coverage_start_s,coverage_end_s,service_duration_s,dispatch_offset_s,arrival_offset_s,service_start_offset_s,service_end_offset_s,return_offset_s,min_transport_start_s,outbound_time_s,return_time_s,lead_time_s,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_energy_kWh,end_soc,charge_time_s,relay_uav_occupancy_s,energy_component_occupancy_s,lon,lat,agl_height_m,min_access_margin_db,relay_g01_margin_db
G000001,R000014,RP019707,720.418,1555.624,710.418,1555.624,845.206,-42.58691710741857,680.418,710.418,1555.624,2140.6765916679656,42.58691710741857,543.0049171074186,585.0525916679654,753.0049171074186,0.1780260236019193,0.13316421595545683,0.2674240555555556,0.5786142951129317,0.8191830327772088,735.0620573896285,2483.263508775384,2918.3255661650123,109.27125,23.05069444444445,260.0,6.877545724760111,9.998693017410716
G000002,R000015,RP019707,720.418,1555.624,710.418,1555.624,845.206,-42.58691710741857,680.418,710.418,1555.624,2140.6765916679656,42.58691710741857,543.0049171074186,585.0525916679654,753.0049171074186,0.1780260236019193,0.13316421595545683,0.2674240555555556,0.5786142951129317,0.8191830327772088,735.0620573896285,2483.263508775384,2918.3255661650123,109.27125,23.05069444444445,260.0,6.877545724760111,9.998693017410716
G000004,R000017,RP019707,720.418,1555.624,710.418,1555.624,845.206,-42.58691710741857,680.418,710.418,1555.624,2140.6765916679656,42.58691710741857,543.0049171074186,585.0525916679654,753.0049171074186,0.1780260236019193,0.13316421595545683,0.2674240555555556,0.5786142951129317,0.8191830327772088,735.0620573896285,2483.263508775384,2918.3255661650123,109.27125,23.05069444444445,260.0,6.877545724760111,9.998693017410716
G000006,R000019,RP019707,720.418,1555.624,710.418,1555.624,845.206,-42.58691710741857,680.418,710.418,1555.624,2140.6765916679656,42.58691710741857,543.0049171074186,585.0525916679654,753.0049171074186,0.1780260236019193,0.13316421595545683,0.2674240555555556,0.5786142951129317,0.8191830327772088,735.0620573896285,2483.263508775384,2918.3255661650123,109.27125,23.05069444444445,260.0,6.877545724760111,9.998693017410716
G000001,R000014,RP016472,720.418,1555.624,710.418,1555.624,845.206,-27.36254884624759,680.418,710.418,1555.624,2120.2710227435455,27.36254884624759,527.7805488462476,564.6470227435457,737.7805488462476,0.17260003713151123,0.13326619339652943,0.2674240555555556,0.5732902860835962,0.8208467855988761,732.899178721461,2447.633571589793,2880.532750311254,109.26680555555556,23.05402777777778,240.0,0.0481013767592628,9.998218853700124
G000002,R000015,RP016472,720.418,1555.624,710.418,1555.624,845.206,-27.36254884624759,680.418,710.418,1555.624,2120.2710227435455,27.36254884624759,527.7805488462476,564.6470227435457,737.7805488462476,0.17260003713151123,0.13326619339652943,0.2674240555555556,0.5732902860835962,0.8208467855988761,732.899178721461,2447.633571589793,2880.532750311254,109.26680555555556,23.05402777777778,240.0,0.0481013767592628,9.998218853700124
G000004,R000017,RP016472,720.418,1555.624,710.418,1555.624,845.206,-27.36254884624759,680.418,710.418,1555.624,2120.2710227435455,27.36254884624759,527.7805488462476,564.6470227435457,737.7805488462476,0.17260003713151123,0.13326619339652943,0.2674240555555556,0.5732902860835962,0.8208467855988761,732.899178721461,2447.633571589793,2880.532750311254,109.26680555555556,23.05402777777778,240.0,0.0481013767592628,9.998218853700124
G000006,R000019,RP016472,720.418,1555.624,710.418,1555.624,845.206,-27.36254884624759,680.418,710.418,1555.624,2120.2710227435455,27.36254884624759,527.7805488462476,564.6470227435457,737.7805488462476,0.17260003713151123,0.13326619339652943,0.2674240555555556,0.5732902860835962,0.8208467855988761,732.899178721461,2447.633571589793,2880.532750311254,109.26680555555556,23.05402777777778,240.0,0.0481013767592628,9.998218853700124
G000001,R000014,RP009191,720.418,1555.624,710.418,1555.624,845.206,-0.48746214444724956,680.418,710.418,1555.624,2084.2887176172662,0.48746214444724956,500.9054621444473,528.6647176172663,710.9054621444473,0.16302595193579889,0.13340884724580243,0.2674240555555556,0.5638588547371569,0.8237941078946385,729.06765973697,2384.7761797617136,2813.8438394986833,109.24125,23.064027777777778,180.0,0.2849576892570127,9.997379406208497
G000002,R000015,RP009191,720.418,1555.624,710.418,1555.624,845.206,-0.48746214444724956,680.418,710.418,1555.624,2084.2887176172662,0.48746214444724956,500.9054621444473,528.6647176172663,710.9054621444473,0.16302595193579889,0.13340884724580243,0.2674240555555556,0.5638588547371569,0.8237941078946385,729.06765973697,2384.7761797617136,2813.8438394986833,109.24125,23.064027777777778,180.0,0.2849576892570127,9.997379406208497
