task_id,uav_id,uav_type,start_time_s,end_time_s,duration_s,n_stops,n_boxes,visit_order,energy_kWh,end_SOC
R073074,U01,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073075,U02,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R073076,U03,A,0.0,1179.5,1179.5094993423072,1,1,S001,1.218849687527148,0.729145
R053046,U07,C,0.0,2939.1,2939.068561268866,2,8,S006>S003,5.997351669149683,0.250331
R072839,U07,C,2939.1,5419.3,2480.27277020252,2,6,S012>S013,5.74957251889596,0.281303
R051122,U07,C,5419.3,7803.9,2384.531904101177,2,6,S002>S009,6.353497869707006,0.205813
R000543,U07,C,7803.9,10081.5,2277.600023787336,1,6,S003,6.107298620536184,0.236588
R000575,U07,C,10081.5,12269.7,2188.2416882588564,1,6,S004,6.119363799617691,0.23508
R071208,U08,C,0.0,2587.9,2587.898906740877,2,8,S011>S008,6.321254207921866,0.209843
R007514,U08,C,2587.9,5108.3,2520.4361178259232,2,8,S002>S001,6.138421007871245,0.232697
R070770,U08,C,5108.3,7585.3,2476.9427152143085,2,8,S007>S015,5.307322807199387,0.336585
R063414,U08,C,7585.3,9911.4,2326.103714019059,2,8,S005>S009,5.969547092582676,0.253807
R072343,U08,C,9911.4,12158.8,2247.3939358717616,2,6,S010>S014,4.439559750260464,0.445055
R000438,U08,C,12158.8,13704.3,1545.5190318265477,1,7,S001,2.9240743474800217,0.634491
